"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date"
"45","Mexico",3441,260,194,20,633,2614,89,27,2,31492,244,"North America","2020-04-10"
"46","Luxembourg",3223,108,54,2,500,2669,30,5149,86,28273,45166,"Europe","2020-04-10"
"47","Serbia",3105,238,71,5,118,2916,136,355,8,14240,1630,"Europe","2020-04-10"
"48","United Arab Emirates",2990,NA,14,NA,268,2708,1,302,1,593095,59967,"Asia","2020-04-10"
"49","Finland",2769,164,48,6,300,2421,82,500,9,41200,7436,"Europe","2020-04-10"
"50","Panama",2752,NA,66,NA,16,2670,107,638,15,11776,2729,"North America","2020-04-10"
"51","Dominican Republic",2620,271,126,8,98,2396,147,242,12,7936,732,"North America","2020-04-10"
"52","Qatar",2512,136,6,NA,227,2279,37,872,2,45339,15737,"Asia","2020-04-10"
"53","Thailand",2473,50,33,1,1013,1427,61,35,0.5,71860,1030,"Asia","2020-04-10"
"54","Colombia",2223,NA,69,NA,174,1980,85,44,1,34910,686,"South America","2020-04-10"
"55","Ukraine",2203,311,69,12,61,2073,33,50,2,23522,538,"Europe","2020-04-10"
"56","Singapore",2108,198,7,1,492,1609,29,360,1,72680,12423,"Asia","2020-04-10"
"57","Greece",2011,56,91,4,269,1651,77,193,9,35532,3409,"Europe","2020-04-10"
"58","South Africa",2003,69,24,6,410,1569,7,34,0.4,73028,1231,"Africa","2020-04-10"
"59","Belarus",1981,495,19,3,169,1793,72,210,2,53000,5609,"Europe","2020-04-10"
"60","Argentina",1894,NA,81,2,375,1438,96,42,2,16379,362,"South America","2020-04-10"
"61","Algeria",1761,95,256,21,405,1100,46,40,6,3359,77,"Africa","2020-04-10"
"62","Egypt",1699,NA,118,NA,348,1233,NA,17,1,25000,244,"Africa","2020-04-10"
"63","Iceland",1675,27,6,NA,751,918,11,4909,18,34125,100002,"Europe","2020-04-10"
"64","Croatia",1495,88,21,1,231,1243,34,364,5,14612,3559,"Europe","2020-04-10"
"65","Morocco",1448,74,107,10,122,1219,1,39,3,6854,186,"Africa","2020-04-10"
"66","Moldova",1438,149,29,NA,56,1353,80,356,7,6271,1555,"Europe","2020-04-10"
"67","New Zealand",1283,44,2,1,373,908,5,266,0.4,55685,11548,"Australia/Oceania","2020-04-10"
